model,year,price,transmission,fuelType,Make
 Q5,2019,36985,1,Diesel,audi
 Q5,2019,37985,1,Diesel,audi
 Q5,2020,37985,4,Petrol,audi
 Q7,2019,49985,1,Diesel,audi
 Q7,2019,59995,1,Diesel,audi
 Q5,2020,47895,4,Petrol,audi
 A4,2020,31985,4,Petrol,audi
 Q7,2015,29985,1,Diesel,audi
 A1,2015,12485,4,Petrol,audi
 A5,2018,24985,1,Petrol,audi
 A5,2015,21985,4,Petrol,audi
 Q3,2019,34985,1,Diesel,audi
 A5,2019,29985,1,Diesel,audi
 Q3,2019,34485,1,Diesel,audi
 A1,2019,19685,2,Petrol,audi
 A4,2019,34985,1,Diesel,audi
 A7,2019,43885,4,Diesel,audi
 A6,2019,35895,1,Diesel,audi
 Q2,2019,26985,1,Petrol,audi
 A6,2019,46985,1,Diesel,audi
 A3,2019,23985,1,Petrol,audi
 A5,2019,27985,1,Petrol,audi
 A6,2019,28985,4,Diesel,audi
 A4,2019,29985,1,Petrol,audi
 A3,2019,21995,2,Diesel,audi
 A5,2019,31985,1,Petrol,audi
 A5,2019,32485,1,Diesel,audi
 A3,2019,21285,2,Diesel,audi
 Q7,2019,56985,1,Diesel,audi
 RS3,2019,43785,4,Petrol,audi
 A4,2016,18498,4,Petrol,audi
 A3,2014,14995,4,Petrol,audi
 A4,2016,17998,2,Diesel,audi
 A3,2014,10985,1,Petrol,audi
 A3,2016,12995,2,Diesel,audi
 A1,2016,11495,2,Petrol,audi
 Q5,2015,18295,4,Diesel,audi
 A6,2015,18998,4,Diesel,audi
 Q2,2017,18485,2,Diesel,audi
 A8,2017,38985,1,Diesel,audi
 A5,2019,29485,1,Petrol,audi
 A5,2017,22998,4,Diesel,audi
 A8,2014,18998,4,Diesel,audi
 A4,2017,17698,2,Petrol,audi
 A5,2019,27995,1,Petrol,audi
 Q3,2019,31985,2,Diesel,audi
 A4,2019,30995,1,Petrol,audi
 A3,2017,18998,4,Petrol,audi
 Q2,2017,16995,2,Petrol,audi
 A3,2018,19995,2,Petrol,audi
 Q2,2017,14495,2,Petrol,audi
 A5,2014,12998,4,Diesel,audi
 A4,2019,32485,1,Diesel,audi
 A1,2019,20485,2,Petrol,audi
 Q3,2016,18698,2,Diesel,audi
 Q5,2013,15998,4,Diesel,audi
 TT,2018,16498,2,Petrol,audi
 Q5,2019,31998,4,Petrol,audi
 Q3,2019,35985,1,Diesel,audi
 A4,2019,18998,2,Petrol,audi
 Q3,2018,19485,2,Petrol,audi
 Q3,2016,19995,4,Diesel,audi
 Q7,2016,47995,4,Diesel,audi
 A3,2019,23485,2,Diesel,audi
 A5,2018,23998,4,Petrol,audi
 A5,2015,17998,2,Diesel,audi
 A6,2018,28985,4,Diesel,audi
 RS6,2015,46000,4,Petrol,audi
 A6,2018,26995,4,Diesel,audi
 A6,2019,33985,1,Diesel,audi
 Q2,2019,30985,1,Petrol,audi
 Q7,2019,52985,1,Diesel,audi
 A1,2017,12698,2,Petrol,audi
 Q3,2017,17298,2,Petrol,audi
 A4,2017,16498,2,Petrol,audi
 A4,2017,16798,2,Petrol,audi
 Q5,2013,15998,2,Petrol,audi
 Q8,2018,63985,4,Diesel,audi
 A6,2018,27985,4,Diesel,audi
 A4,2018,19485,4,Petrol,audi
 A4,2018,20985,2,Petrol,audi
 A3,2018,22285,1,Diesel,audi
 Q3,2014,14500,4,Diesel,audi
 A3,2017,25000,4,Petrol,audi
 Q3,2017,15800,2,Petrol,audi
 A3,2013,13500,4,Diesel,audi
 Q3,2014,12000,2,Diesel,audi
 A3,2015,13800,4,Diesel,audi
 A1,2016,11650,2,Petrol,audi
 A3,2014,11850,2,Diesel,audi
 A6,2013,12495,2,Diesel,audi
 A1,2015,15995,2,Petrol,audi
 Q7,2020,82995,4,Diesel,audi
 A4,2019,25990,4,Petrol,audi
 A6,2019,30995,4,Diesel,audi
 Q5,2019,34985,1,Diesel,audi
 Q3,2019,31995,2,Diesel,audi
 A4,2019,28485,1,Diesel,audi
 Q5,2016,21498,4,Diesel,audi
 Q5,2019,32895,1,Diesel,audi
 A5,2016,22998,4,Petrol,audi
 Q5,2019,35998,4,Petrol,audi
 Q7,2016,29985,1,Diesel,audi
 A3,2014,16485,2,Petrol,audi
 TT,2016,19485,2,Diesel,audi
 A1,2015,13495,2,Petrol,audi
 A3,2016,14995,2,Petrol,audi
 Q5,2017,39995,4,Petrol,audi
 Q5,2015,22990,4,Diesel,audi
 A1,2017,12495,2,Petrol,audi
 A3,2019,24985,1,Diesel,audi
 A3,2019,24485,2,Diesel,audi
 A3,2016,16485,2,Petrol,audi
 Q3,2016,20485,2,Diesel,audi
 A4,2018,24985,1,Petrol,audi
 A4,2017,19995,4,Diesel,audi
 A5,2014,16000,4,Petrol,audi
 Q3,2014,14998,4,Diesel,audi
 A3,2015,13995,2,Diesel,audi
 A4,2019,27990,4,Diesel,audi
 A1,2016,11995,2,Petrol,audi
 A3,2018,15995,2,Petrol,audi
 A3,2020,35995,4,Petrol,audi
 A1,2016,13585,2,Petrol,audi
 A7,2019,32985,1,Diesel,audi
 A4,2020,34798,4,Petrol,audi
 A4,2020,40780,4,Diesel,audi
 Q7,2015,34995,4,Diesel,audi
 A4,2017,18995,2,Diesel,audi
 A1,2016,12995,2,Petrol,audi
 A1,2016,14495,2,Petrol,audi
 A1,2017,12995,2,Petrol,audi
